"place_id","place_name","category","latitude","longitude","pet_policy"
"4011924","APC 롯데프리미엄아울렛 파주점","","37.7196781","126.6931710","정보없음"
"4011927","커버낫 롯데프리미엄아울렛 파주점","","37.7196781","126.6931710","정보없음"
"4011933","오니츠카타이거 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011936","스노우피크 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"2913339","뉴에라 신세계사이먼프리미엄아울렛 시흥점","","37.3796756","126.7369853","정보없음"
"2928425","크록스 롯데몰 광명점","","37.4243110","126.8827800","정보없음"
"2925833","엠엘비 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4005897","데이트안경원","","37.8798518","127.7267719","정보없음"
"2914394","롯데하이마트 산본점","","37.3728564","126.9371263","정보없음"
"2931786","골든듀 AK플라자 평택점","","36.9918975","127.0832887","정보없음"
"4008808","가든뷰","","37.5690918","126.8367840","정보없음"
"3074308","정부대전청사 자연마당","","36.3588000","127.3850000","정보없음"
"2469441","합천 영상테마파크","","35.5484532","128.0730563","정보없음"
"2705409","강아지숲","","37.7364332","127.6620193","정보없음"
"2714545","등대해수욕장","","38.2146440","128.5983320","정보없음"
"3111794","스타필드 고양","","37.6469771","126.8947780","정보없음"
"3112053","파로호꽃섬","","38.1167186","127.9884611","정보없음"
"3112126","드림서프라운지","","35.1466188","129.1132535","정보없음"
"3112168","아우아우","","33.4878397","126.6931877","정보없음"
"3114506","다송무지개매화마을","","36.0374047","126.9557547","정보없음"
"3330180","행땅","","37.6337444","126.8516373","정보없음"
"3331534","나무와열매 체험농장","","33.2581949","126.3080072","정보없음"
"3336122","순천 오천그린광장","","34.9331980","127.4979710","정보없음"
"3336134","독독","","37.4589846","126.4015010","정보없음"
"3336140","순천 반려동물 문화센터","","34.9486609","127.4974247","정보없음"
"4011378","풍류 스노우","","37.5089092","127.0327661","정보없음"
"4026624","신사웰약국","","37.5150206","127.0203541","정보없음"
"4024888","안경진정성 이마트 강릉점","","37.7705532","128.9227097","정보없음"
"3350880","카페윤","","35.1819920","129.2112380","정보없음"
"3378995","고싸움놀이테마파크","","35.0695028","126.8354834","정보없음"
"3355750","현대프리미엄아울렛 대전점","","36.4234369","127.3985168","정보없음"
"3302874","선샤인밀양테마파크","","35.5005014","128.8334464","정보없음"
"754052","석촌호수","","37.5079160","127.0989440","정보없음"
"3371784","하림펫푸드 해피댄스스튜디오","","36.6215156","127.1299860","정보없음"
"317559","사성암(구례)","","35.1801261","127.4806049","정보없음"
"4011938","윌슨 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011939","바바라 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011940","살로몬 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011941","어메이징크리 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011943","캉골키즈 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011944","에고이스트 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011947","라이프워크 신세계사이먼프리미엄아울렛 파주점","","37.7693512","126.6953853","정보없음"
"4011950","안다르 롯데프리미엄아울렛 파주점","","37.7178193","126.6937616","정보없음"
"4011951","캘빈클라인진 롯데프리미엄아울렛 파주점","","37.7178193","126.6937616","정보없음"
"4011952","유니클로 롯데프리미엄아울렛 파주점","","37.7178193","126.6937616","정보없음"
"4012020","ABC마트 SE 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012021","라이프워크 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012022","엄브로 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012024","레이밴 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012026","PXG 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012028","아이더 현대프리미엄아울렛 스페이스원","","37.6162579","127.1524291","정보없음"
"4012029","내셔널지오그래픽키즈 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012030","플랫폼플레이스 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012034","캉골키즈 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012035","리틀그라운드 현대프리미엄아울렛 스페이스원점","","37.6162579","127.1524291","정보없음"
"4012042","몰리스펫샵 스타필드 시티 부천점","","37.4615202","126.8139403","정보없음"
"4012045","아트박스 김해율하점","","35.1719281","128.8147334","정보없음"
"4012048","프라다 현대백화점 중동점","","37.5043163","126.7620827","정보없음"
"4012051","미꼬 현대백화점 중동점","","37.5043163","126.7620827","정보없음"
"4012055","닥스셔츠 현대백화점 중동점","","37.5043163","126.7620827","정보없음"
"4012078","듀퐁부틱 롯데프리미엄아울렛 김해점","","35.1850621","128.8295964","정보없음"
"4012099","로에베 현대백화점 판교점","","37.3927937","127.1120171","정보없음"
"4012100","프라다 남성 현대백화점 판교점","","37.3927937","127.1120171","정보없음"
"4012101","마시모두띠 현대백화점 판교점","","37.3927937","127.1120171","정보없음"
"4012132","롯데하이마트 사천점","","35.0807250","128.0836770","정보없음"
"4012133","롯데하이마트 삼천포점","","34.9359027","128.0777451","정보없음"
"4012134","LG전자 베스트샵 삼천포점","","34.9369358","128.0783518","정보없음"
"4012135","삼성스토어 삼천포","","34.9391840","128.0796199","정보없음"
"4012136","LG전자 베스트샵 양산본점","","35.3262807","129.0156044","정보없음"
"4012137","롯데하이마트 웅상롯데마트점","","35.4125911","129.1669832","정보없음"
"4012138","롯데하이마트 양산점","","35.3397194","129.0351642","정보없음"
"4012139","LG전자 베스트샵 덕계점","","35.3739843","129.1538130","정보없음"
"4012140","LG전자 베스트샵 진주시청점","","35.1796779","128.1163044","정보없음"
"4012145","MLB복합관 롯데몰 진주점","","35.1801540","128.1398413","정보없음"
"4012151","라이프워크 메가스토어 진주점","","35.1329842","128.0992445","정보없음"
"4012152","LG전자 베스트샵 진주성점","","35.1911876","128.0789017","정보없음"
"4012154","폴로랄프로렌 남성 갤러리아백화점 진주점","","35.1967109","128.0823222","정보없음"
"4012155","아트박스 마산경남대점","","35.1796736","128.5580145","정보없음"
"4012157","노벨라 신세계백화점 마산점","","35.2195839","128.5865907","정보없음"
"4012159","LG전자 베스트샵 합포점","","35.1952046","128.5704011","정보없음"
